date,Alpine (S),Ararat (RC),Ballarat (C),Banyule (C),Bass Coast (S),Baw Baw (S),Bayside (C),Benalla (RC),Boroondara (C),Brimbank (C),Buloke (S),Campaspe (S),Cardinia (S),Casey (C),Central Goldfields (S),Colac-Otway (S),Corangamite (S),Darebin (C),East Gippsland (S),Frankston (C),Gannawarra (S),Glen Eira (C),Glenelg (S),Golden Plains (S),Greater Bendigo (C),Greater Dandenong (C),Greater Geelong (C),Greater Shepparton (C),Hepburn (S),Hindmarsh (S),Hobsons Bay (C),Horsham (RC),Hume (C),Indigo (S),Kingston (C),Knox (C),Latrobe (C),Loddon (S),Macedon Ranges (S),Manningham (C),Mansfield (S),Maribyrnong (C),Maroondah (C),Melbourne (C),Melton (C),Mildura (RC),Mitchell (S),Moira (S),Monash (C),Moonee Valley (C),Moorabool (S),Moreland (C),Mornington Peninsula (S),Mount Alexander (S),Moyne (S),Murrindindi (S),Nillumbik (S),Northern Grampians (S),Port Phillip (C),Pyrenees (S),Queenscliffe (B),South Gippsland (S),Southern Grampians (S),Stonnington (C),Strathbogie (S),Surf Coast (S),Swan Hill (RC),Towong (S),Unincorporated Vic,Wangaratta (RC),Warrnambool (C),Wellington (S),West Wimmera (S),Whitehorse (C),Whittlesea (C),Wodonga (RC),Wyndham (C),Yarra (C),Yarra Ranges (S),Yarriambiack (S)
2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,5.0,0.0,0.0,0.0,4.142857142857143,0.0,0.0,0.0,1.2857142857142858,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,12.285714285714286,0.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,1.2857142857142858,0.0,0.8571428571428571,2.142857142857143,0.0,1.1428571428571428,0.0,0.2857142857142857,4.0,0.0,5.571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,3.142857142857143,0.0,2.2857142857142856,1.2857142857142858,0.14285714285714285,0.0
2020-07-02,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,6.571428571428571,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,1.0,0.0,12.857142857142858,0.0,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,1.2857142857142858,0.0,2.142857142857143,3.0,0.0,1.1428571428571428,0.0,0.2857142857142857,4.142857142857143,0.0,5.428571428571429,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,2.4285714285714284,0.0,3.142857142857143,1.4285714285714286,0.14285714285714285,0.0
2020-07-03,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,6.857142857142857,0.0,0.0,0.0,2.142857142857143,0.0,0.0,0.0,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,14.571428571428571,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,1.5714285714285714,0.0,2.857142857142857,3.4285714285714284,0.0,1.2857142857142858,0.0,0.2857142857142857,4.571428571428571,0.0,5.142857142857143,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,2.7142857142857144,0.0,4.0,1.7142857142857142,0.14285714285714285,0.0
2020-07-04,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,6.714285714285714,0.0,0.0,0.0,2.5714285714285716,0.0,0.0,0.0,1.7142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.0,1.5714285714285714,0.0,14.857142857142858,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,2.0,0.14285714285714285,4.571428571428571,3.4285714285714284,0.0,0.7142857142857143,0.0,0.42857142857142855,5.714285714285714,0.0,4.714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,3.5714285714285716,0.0,6.428571428571429,1.1428571428571428,0.14285714285714285,0.0
2020-07-05,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,7.142857142857143,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,1.8571428571428572,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,1.4285714285714286,0.0,15.0,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,2.0,0.14285714285714285,5.142857142857143,3.4285714285714284,0.0,0.8571428571428571,0.0,0.5714285714285714,6.285714285714286,0.0,4.428571428571429,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,3.5714285714285716,0.0,8.428571428571429,1.2857142857142858,0.14285714285714285,0.0
2020-07-06,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,1.0,7.571428571428571,0.0,0.0,0.0,2.4285714285714284,0.0,0.0,0.0,1.8571428571428572,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,1.8571428571428572,0.0,15.142857142857142,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.8571428571428571,0.0,2.0,0.42857142857142855,9.571428571428571,2.857142857142857,0.0,1.1428571428571428,0.0,0.5714285714285714,5.857142857142857,0.0,4.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,3.7142857142857144,0.14285714285714285,11.714285714285714,1.2857142857142858,0.2857142857142857,0.0
2020-07-07,0.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,1.1428571428571428,8.857142857142858,0.0,0.0,0.0,2.7142857142857144,0.0,0.0,0.0,2.142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.0,2.2857142857142856,0.0,17.285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,2.4285714285714284,0.42857142857142855,11.714285714285714,3.2857142857142856,0.0,0.7142857142857143,0.0,1.2857142857142858,6.857142857142857,0.0,4.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,3.857142857142857,0.14285714285714285,14.428571428571429,2.142857142857143,0.2857142857142857,0.0
2020-07-08,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.2857142857142857,0.0,1.0,8.285714285714286,0.0,0.0,0.0,2.7142857142857144,0.0,0.0,0.0,2.142857142857143,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,2.2857142857142856,0.0,15.285714285714286,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,1.4285714285714286,0.0,2.857142857142857,0.42857142857142855,13.714285714285714,3.4285714285714284,0.0,0.7142857142857143,0.0,1.7142857142857142,8.714285714285714,0.0,4.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,4.285714285714286,0.14285714285714285,16.285714285714285,2.142857142857143,0.5714285714285714,0.0
